period,area-name,product,product-name,process,process-name,series-description,value($/GAL),area
2024-09-30,Gulf Coast,Gasoline,Reformulated Motor Gasoline,PTE,Retail Sales,Gulf Coast All Grades Reformulated Retail Gasoline Prices (Dollars per Gallon),2.722,Region
2024-09-30,SAN FRANCISCO,Gasoline,Total Gasoline,PTE,Retail Sales,San Francisco All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),4.873,City
2024-09-30,Midwest,Gasoline,Total Gasoline,PTE,Retail Sales,Midwest All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),3.186,Region
2024-09-30,East Coast (North),Gasoline,Total Gasoline,PTE,Retail Sales,Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon),3.291,Region
2024-09-30,Rocky Mountain,Diesel,No 2 Diesel Low Sulfur (0-15 ppm),PTE,Retail Sales,Rocky Mountain No 2 Diesel Ultra Low Sulfur (0-15 ppm) Retail Prices (Dollars per Gallon),3.612,Region
2024-09-30,West Coast,Diesel,No 2 Diesel,PTE,Retail Sales,West Coast No 2 Diesel Retail Prices (Dollars per Gallon),4.226,Region
2024-09-30,NEW YORK,Gasoline,Conventional Regular Gasoline,PTE,Retail Sales,New York Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.304,State
2024-09-30,FLORIDA,Gasoline,Conventional Regular Gasoline,PTE,Retail Sales,Florida Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.118,State
2024-09-30,OHIO,Gasoline,Conventional Regular Gasoline,PTE,Retail Sales,Ohio Regular Conventional Retail Gasoline Prices (Dollars per Gallon),3.215,State
2024-09-30,East Coast,Gasoline,Reformulated Regular Gasoline,PTE,Retail Sales,East Coast Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),3.034,Region
2024-09-30,HOUSTON,Gasoline,Reformulated Regular Gasoline,PTE,Retail Sales,"Houston, TX Regular Reformulated Retail Gasoline Prices (Dollars per Gallon)",2.628,City
2024-09-30,Midwest,Gasoline,Reformulated Regular Gasoline,PTE,Retail Sales,Midwest Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),3.44,Region
2024-09-30,Midwest,Gasoline,Regular Gasoline,PTE,Retail Sales,Midwest Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),3.105,Region
2024-09-30,BOSTON,Gasoline,Regular Gasoline,PTE,Retail Sales,"Boston, MA Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.031,City
2024-09-30,MINNESOTA,Gasoline,Conventional Premium Gasoline,PTE,Retail Sales,Minnesota Premium Conventional Retail Gasoline Prices (Dollars per Gallon),3.777,State
2024-09-30,TEXAS,Gasoline,Conventional Premium Gasoline,PTE,Retail Sales,Texas Premium Conventional Retail Gasoline Prices (Dollars per Gallon),3.523,State
2024-09-30,WASHINGTON,Gasoline,Conventional Premium Gasoline,PTE,Retail Sales,Washington Premium Conventional Retail Gasoline Prices (Dollars per Gallon),4.455,State
2024-09-30,CLEVELAND,Gasoline,Conventional Premium Gasoline,PTE,Retail Sales,"Cleveland, OH Premium Conventional Retail Gasoline Prices (Dollars per Gallon)",4.238,City
2024-09-30,Rocky Mountain,Gasoline,Reformulated Premium Gasoline,PTE,Retail Sales,Rocky Mountain Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),4.175,Region
2024-09-30,West Coast (except California),Gasoline,Reformulated Premium Gasoline,PTE,Retail Sales,West Coast (PADD 5) Except California Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),4.014,Region
2024-09-30,East Coast (Central),Gasoline,Reformulated Premium Gasoline,PTE,Retail Sales,Lower Atlantic (PADD 1C) Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),3.651,Region
2024-09-30,West Coast,Gasoline,Reformulated Premium Gasoline,PTE,Retail Sales,West Coast Premium Reformulated Retail Gasoline Prices (Dollars per Gallon),4.836,Region
2024-09-30,CHICAGO,Gasoline,Premium Gasoline,PTE,Retail Sales,Chicago Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.718,City
2024-09-30,MINNESOTA,Gasoline,Premium Gasoline,PTE,Retail Sales,Minnesota Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),3.777,State
2024-09-30,West Coast,Gasoline,Premium Gasoline,PTE,Retail Sales,West Coast Premium All Formulations Retail Gasoline Prices (Dollars per Gallon),4.686,Region
2024-09-30,Rocky Mountain,Gasoline,Gasoline Conventional Midgrade,PTE,Retail Sales,Rocky Mountain Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.739,Region
2024-09-30,MINNESOTA,Gasoline,Gasoline Conventional Midgrade,PTE,Retail Sales,Minnesota Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),3.4,State
2024-09-30,WASHINGTON,Gasoline,Gasoline Conventional Midgrade,PTE,Retail Sales,Washington Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon),4.265,State
2024-09-30,CLEVELAND,Gasoline,Gasoline Conventional Midgrade,PTE,Retail Sales,"Cleveland, OH Midgrade Conventional Retail Gasoline Prices (Dollars per Gallon)",3.732,City
2024-09-30,U.S.,Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,U.S. Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),4.015,Region
2024-09-30,LOS ANGELES,Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,"Los Angeles, CA Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon)",4.651,City
2024-09-30,East Coast (South),Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,New England (PADD 1A) Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.635,Region
2024-09-30,CALIFORNIA,Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,California Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),4.743,State
2024-09-30,West Coast (except California),Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,West Coast (PADD 5) Except California Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.747,Region
2024-09-30,East Coast (North),Gasoline,Gasoline Reformulated Midgrade,PTE,Retail Sales,Central Atlantic (PADD 1B) Midgrade Reformulated Retail Gasoline Prices (Dollars per Gallon),3.632,Region
2024-09-30,DENVER,Gasoline,Midgrade Gasoline,PTE,Retail Sales,Denver Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),3.85,City
2024-09-30,CALIFORNIA,Gasoline,Midgrade Gasoline,PTE,Retail Sales,California Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon),4.743,State
2024-09-30,BOSTON,Gasoline,Midgrade Gasoline,PTE,Retail Sales,"Boston, MA Midgrade All Formulations Retail Gasoline Prices (Dollars per Gallon)",3.62,City
2024-09-30,FLORIDA,Gasoline,Conventional Gasoline (No Oxy),PTE,Retail Sales,Florida All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),3.218,State
2024-09-30,West Coast (except California),Gasoline,Conventional Gasoline (No Oxy),PTE,Retail Sales,West Coast (PADD 5) Except California All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),3.844,Region
2024-09-30,COLORADO,Gasoline,Conventional Gasoline (No Oxy),PTE,Retail Sales,Colorado All Grades Conventional Retail Gasoline Prices (Dollars per Gallon),3.631,State
